event_asn	event_city	event_clientIP	event_correlationID	event_country	event_eventType	event_host	event_ip	event_lat	event_long	event_method	event_path	event_profileID	event_referer	event_region	event_resultCount	event_seedId	event_serverTime	event_sessionAppName	event_time	event_userID	event_user_agent_raw	event_vendor	param_clipsAutoplayDisabled	param_exclude	param_feat	param_feedTypes	param_genres	param_jwToken	param_kids	param_maxRating	param_nonKids	param_offset	param_profileId	param_purchases	param_source	param_started	param_tripleNav	param_tz	jwt_apid	jwt_app	jwt_concurrency	jwt_exp	jwt_feat	jwt_iat	jwt_jti	jwt_kids	jwt_nuid	jwt_priceName	jwt_profileId	jwt_profileName	jwt_purchases	jwt_role	jwt_streams	jwt_tz	jwt_tzOffset	jwt_uid	jwt_ver	
4804	IPSWICH	110.32.36.101	ChMzMzM1Njc3NDg3NTg4MTc2ODU0GiVzdGFuLW1vcmUtbGlrZS10aGlzLWN2cl8xNjg5ODk0ODI3Njc4IgttbHQtY3ZyLXNydigAMAI6CKGhnTenoZ03	AU	mlt	rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com	110.32.36.101, 23.56.110.174, 23.32.5.76	-27.62	152.77	GET	/related?genres=Reality%2CLGBTQI&maxRating=MA+15%2B&nonKids=true&source=19971&jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUxNTQ2MTgsImlhdCI6MTc2NDc4NjYxOCwianRpIjoiNzQxZWMzYzkzZmM0NDk4NjhjNjcwMGU0ZDJiY2M4ODYiLCJyb2xlIjoidXNlciIsInVpZCI6Ijk3NzNhMjlkODkxMzRhZjg5YWU5OWQzZDg4MmUxM2VkIiwic3RyZWFtcyI6InVoZCIsImNvbmN1cnJlbmN5Ijo0LCJwcm9maWxlSWQiOiJhOGU2ZTg0YWEwMzc0ZTJhYjdkNjVmNmVlYzU3YjQxNSIsInByb2ZpbGVOYW1lIjoiRW1lcnkiLCJraWRzIjp0cnVlLCJ0ek9mZnNldCI6NjAwLCJhcHAiOiJTdGFuLUhpc2Vuc2VUViIsInZlciI6IjguNi4wIiwibnVpZCI6IjU4ODBjNGI3ZTJmMzQxMmU5NzVhZjkzYjUwNTE2ZDIwIiwiYXBpZCI6ImNjOWVhZjA3LTM4MzktZjE0YS0wMjVjLTI4Y2E2YjBmYmI0MiIsImZlYXQiOjU0MTM1NDE1MDE5Mjc2LCJwcmljZU5hbWUiOiJwcmVtaXVtdjYifQ.x9glt9sg8srZTC2xGGdpUcumeoedWbB-NInhCHEYFG8&tz=null	a8e6e84aa0374e2ab7d65f6eec57b415	https://hisense.stan.app/72671/programs/19971	QLD	0	19971	1764786619256	Stan-HisenseTV	2025-12-03T18:30:19.256096683Z	9773a29d89134af89ae99d3d882e13ed	Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Odin/88.4324.2.10 Safari/537.36 Model/Hisense-NT72671D VIDAA/6.0(Hisense;SmartTV;75U62GAVT;NT72671/V0000.06.12X.N1212;UHD;75U6QGA;)	google	nil	nil	nil	nil	Reality,LGBTQI	redacted	nil	MA+15(	true	nil	nil	nil	19971	nil	nil	null	cc9eaf07-3839-f14a-025c-28ca6b0fbb42	Stan-HisenseTV	4	2026-04-02T18:30:18Z	54135415019276	2025-12-03T18:30:18Z	741ec3c93fc449868c6700e4d2bcc886	true	5880c4b7e2f3412e975af93b50516d20	premiumv6	a8e6e84aa0374e2ab7d65f6eec57b415	Emery	nil	user	uhd	nil	600	9773a29d89134af89ae99d3d882e13ed	8.6.0	
1221	SYDNEY	1.140.125.149		AU	mlt-sport	rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com	1.140.125.149, 23.214.88.133, 23.32.5.52	-33.88	151.22	GET	/related?genres=Sport%2CFootball&maxRating=PG&source=5487288&tz=Australia%2FSydney			NSW	0	5487288	1764787490585		2025-12-03T18:44:50.585080932Z		Dalvik/2.1.0 (Linux; U; Android 9; UnionTV Build/PPR2.180905.006.A1)	stan	nil	nil	nil	nil	Sport,Football	nil	nil	PG	nil	nil	nil	nil	5487288	nil	nil	Australia/Sydney	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	
1221	BRISBANE	121.222.111.12		AU	mlt-sport	rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com	121.222.111.12, 23.56.110.174, 23.32.5.52	-27.50	153.02	GET	/related?genres=Sport%2CRugby&maxRating=PG&source=5454610&tz=GMT%2B10%3A00			QLD	0	5454610	1764787749109		2025-12-03T18:49:09.109653321Z		Dalvik/2.1.0 (Linux; U; Android 11; Smart TV Build/AR2101)	stan	nil	nil	nil	nil	Sport,Rugby	nil	nil	PG	nil	nil	nil	nil	5454610	nil	nil	GMT(10:00	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	
7545	ADELAIDE	61.69.129.14		AU	mlt-sport	rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com	61.69.129.14, 150.101.143.76, 23.55.222.78	-34.93	138.60	GET	/related?genres=Sport%2CFootball&maxRating=PG&source=5487001&tz=Australia%2FAdelaide			SA	0	5487001	1764787808721		2025-12-03T18:50:08.721575023Z		Dalvik/2.1.0 (Linux; U; Android 14; Chromecast HD Build/UTTC.250917.004)	stan	nil	nil	nil	nil	Sport,Football	nil	nil	PG	nil	nil	nil	nil	5487001	nil	nil	Australia/Adelaide	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	
4804	SYDNEY	49.181.218.132		AU	mlt	rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com	49.181.218.132, 23.40.103.172, 23.32.5.76	-33.88	151.22	GET	/related?exclude=4223516%2C158598&feat=19039056168208&offset=0&purchases=0&source=5455362&jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUxNTY3ODYsImlhdCI6MTc2NDc4ODc4NiwianRpIjoiNTNjMjhiMzQ0NDVlNGE5NDk4N2JjOTBkYTJjN2E4MjkiLCJyb2xlIjoidXNlciIsInVpZCI6IjZlMjQ2OWVkZDUzMDRhM2I4NjhlMGQ0NmNjNjdmY2NmIiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjMsInByb2ZpbGVJZCI6ImVkNzc4NjRhYzVmOTQ4MTJhZDk1MjJiNGFiMzFjNjUxIiwicHJvZmlsZU5hbWUiOiJncmVnIiwidHoiOiJBdXN0cmFsaWEvU3lkbmV5IiwiYXBwIjoiU3Rhbi1XZWIiLCJ2ZXIiOiIwN2Q5ZGI5IiwibnVpZCI6IjczNzcyZmVjOTM5ZTRhNWI4Mzg0NGVjMDJmYTI3NWMwIiwiYXBpZCI6IjI4MmYyMGU3LWUzMzgtOWRmMi1iNDc1LTVhODUyZTdiNWI0ZCIsImZlYXQiOjE5MDM5MDU2MTY4MjA4LCJwcmljZU5hbWUiOiJzdGFuZGFyZHY1In0.rW9Vl5OISK4Lbdx97xAF2iPX4rn_7Sc38Lz6342Z2UM	ed77864ac5f94812ad9522b4ab31c651	https://play.stan.com.au/	NSW	0	5455362	1764788822047	Stan-Web	2025-12-03T19:07:02.047450069Z	6e2469edd5304a3b868e0d46cc67fccf	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36	stan	nil	4223516,158598	19039056168208	nil	nil	redacted	nil	nil	nil	0	nil	0	5455362	nil	nil	nil	282f20e7-e338-9df2-b475-5a852e7b5b4d	Stan-Web	3	2026-04-02T19:06:26Z	19039056168208	2025-12-03T19:06:26Z	53c28b34445e4a94987bc90da2c7a829	nil	73772fec939e4a5b83844ec02fa275c0	standardv5	ed77864ac5f94812ad9522b4ab31c651	greg	nil	user	hd	Australia/Sydney	nil	6e2469edd5304a3b868e0d46cc67fccf	07d9db9	
4804	GOLDCOAST	114.75.149.242	ChM3NjE1ODA2MjExMzY1NTI0OTcxGiVzdGFuLW1vcmUtbGlrZS10aGlzLWN2cl8xNjg5ODk0ODI3Njc4IgttbHQtY3ZyLXNydigAMAI6CKGhnTenoZ03	AU	mlt	rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com	114.75.149.242, 23.56.110.174, 23.32.5.76	-28.00	153.43	GET	/related?genres=Action%2CDrama&maxRating=M&nonKids=true&source=1573612&jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUxNTY5NTksImlhdCI6MTc2NDc4ODk1OSwianRpIjoiNGMwOTVlMzA5ZjgxNDM1OThhNjQyNmU3YzhjYzY5OTEiLCJyb2xlIjoidXNlciIsInVpZCI6IjQ3ZDA1ZDczYTM0YjRiMWFiOWQ5YTUxODQwZjhmNjhjIiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjMsInByb2ZpbGVJZCI6Ijc2MGQ4YThiOTExMDQxMzU5NjlhZjJkYWQ4NTYyZjIwIiwicHJvZmlsZU5hbWUiOiJBYmVsIiwia2lkcyI6dHJ1ZSwidHpPZmZzZXQiOjYwMCwiYXBwIjoiU3Rhbi1TYW1zdW5nVFYiLCJ2ZXIiOiI4LjYuMiIsIm51aWQiOiI1MmI2YzQ3MjdmMzc0YjdhOWQyNDkzODVlYzAwMDM4OCIsImFwaWQiOiJkNDUyNjVhMS04NWQxLTUxMGQtM2U2Yi04YmQ3ZDZjMjgzMmMiLCJmZWF0Ijo1ODgwODMzOTI2ODk1NiwicHJpY2VOYW1lIjoic3RhbmRhcmR2NSJ9.qJknfcaBUZpmji0WXa3w21uv-eYVdpgrn1zc0vMYeHU&tz=null	760d8a8b91104135969af2dad8562f20		QLD	0	1573612	1764788960442	Stan-SamsungTV	2025-12-03T19:09:20.442357672Z	47d05d73a34b4b1ab9d9a51840f8f68c	Mozilla/5.0 (SMART-TV; LINUX; Tizen 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Version/5.0 TV Safari/537.36	google	nil	nil	nil	nil	Action,Drama	redacted	nil	M	true	nil	nil	nil	1573612	nil	nil	null	d45265a1-85d1-510d-3e6b-8bd7d6c2832c	Stan-SamsungTV	3	2026-04-02T19:09:19Z	58808339268956	2025-12-03T19:09:19Z	4c095e309f8143598a6426e7c8cc6991	true	52b6c4727f374b7a9d249385ec000388	standardv5	760d8a8b91104135969af2dad8562f20	Abel	nil	user	hd	nil	600	47d05d73a34b4b1ab9d9a51840f8f68c	8.6.2	
1221	SYDNEY	1.145.94.72	ChMxMTA5ODY2NjEyMTU0ODczNzQyGiVzdGFuLW1vcmUtbGlrZS10aGlzLWN2cl8xNjg5ODk0ODI3Njc4IgttbHQtY3ZyLXNydigAMAI6CKehnTehoZ03	AU	mlt-sport	rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com	1.145.94.72, 23.62.156.82, 23.32.5.52	-33.88	151.22	GET	/related?genres=Sport%2CRugby&maxRating=PG&source=5629299&started=true&jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUxNTc2MDgsImlhdCI6MTc2NDc4OTYwOCwianRpIjoiZDQ3MDBjNTllNWM5NDhjMmFiNDlmOTFiMjE4ODA3NTYiLCJyb2xlIjoidXNlciIsInVpZCI6IjdjMzhlNWVhNzQ5ZjQyNjg4NTc0YTY2N2QzMTJhZmNhIiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjMsInByb2ZpbGVJZCI6IjdjMzhlNWVhNzQ5ZjQyNjg4NTc0YTY2N2QzMTJhZmNhIiwicHJvZmlsZU5hbWUiOiJSb2JlcnQiLCJhcHAiOiJTdGFuLWlPUyIsInZlciI6IjQuNDEuMC41NDYiLCJudWlkIjoiN2NmNmM5Njg1NTZhNGIwODkyYzdlODAxNDViNmJhMTEiLCJhcGlkIjoiNDk5MTRmMmMtYzllZS1hNWRhLTNmMTktODBlMzgwOTc1Yzc1IiwiZmVhdCI6MjAzMDcxNDUwMzI5NzYsInByaWNlTmFtZSI6InN0YW5kYXJkdjUifQ.jVqZfhlG-vonoJeynaXXcztUUV8x9qaUXkxdDM12EPU&tz=Australia/Sydney	7c38e5ea749f42688574a667d312afca		NSW	0	5629299	1764789637675	Stan-iOS	2025-12-03T19:20:37.67546678Z	7c38e5ea749f42688574a667d312afca	Stan/4.41.0 (au.com.stan; build:546; iOS 26.1.0) Alamofire/5.8.0	google	nil	nil	nil	nil	Sport,Rugby	redacted	nil	PG	nil	nil	nil	nil	5629299	true	nil	Australia/Sydney	49914f2c-c9ee-a5da-3f19-80e380975c75	Stan-iOS	3	2026-04-02T19:20:08Z	20307145032976	2025-12-03T19:20:08Z	d4700c59e5c948c2ab49f91b21880756	nil	7cf6c968556a4b0892c7e80145b6ba11	standardv5	7c38e5ea749f42688574a667d312afca	Robert	nil	user	hd	nil	nil	7c38e5ea749f42688574a667d312afca	4.41.0.546	
9650	BRISBANE	165.86.81.72		AU	mlt-sport	rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com	165.86.81.72, 104.117.181.84, 23.40.103.163	-27.50	153.02	GET	/related?genres=Sport%2CFootball&maxRating=PG&source=5487040&started=true		https://play.stan.com.au/	QLD	0	5487040	1764789671343		2025-12-03T19:21:11.343919512Z		Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0	stan	nil	nil	nil	nil	Sport,Football	nil	nil	PG	nil	nil	nil	nil	5487040	true	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	
4804	MELBOURNE	49.183.185.226	ChM0NjQ3NDk0NjgyNzcwNDAxMjE5GiVzdGFuLW1vcmUtbGlrZS10aGlzLWN2cl8xNjg5ODk0ODI3Njc4IgttbHQtY3ZyLXNydigAMAI6CKihnTeioZ03	AU	mlt-sport	rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com	49.183.185.226, 184.84.238.17, 23.62.36.167	-37.82	144.97	GET	/related?feat=19071268422928&offset=0&purchases=0&source=5681682&tz=Australia%2FSydney&clipsAutoplayDisabled=true&tripleNav=true&feedTypes=landscapes%2Cresume%2Clandscapes_xl%2Cpreviews%2Csquares%2Cbanner%2Cordinal%2Cweb_view_page&jwToken=eyJhbGciOiJIUzI1NiIsImtpZCI6InBpa2FjaHUiLCJ0eXAiOiJKV1QifQ.eyJleHAiOjE3NzUxNTc4NjAsImlhdCI6MTc2NDc4OTg2MCwianRpIjoiMDE3NmY0YzRkOTdiNGY2Y2EwMTU1Yzc3ZGRmZjllZTUiLCJyb2xlIjoidXNlciIsInVpZCI6ImU0OTk4MGIyMzhiZDRjMmJhNTQxODNkMjAxZTJkZDk5Iiwic3RyZWFtcyI6ImhkIiwiY29uY3VycmVuY3kiOjMsInByb2ZpbGVJZCI6ImU0OTk4MGIyMzhiZDRjMmJhNTQxODNkMjAxZTJkZDk5IiwicHJvZmlsZU5hbWUiOiJKaG9uIiwidHoiOiJBdXN0cmFsaWEvU3lkbmV5IiwiYXBwIjoiU3Rhbi1BbmRyb2lkIiwidmVyIjoiNC40Ny4wLjU4MzcxIiwibnVpZCI6IjMzODkwMzYzYWUxMzRhMGJiMjA3ODkxOGYzMjU5NGRjIiwiYXBpZCI6IjE4MTNjYjE2LTMyMjEtYjJkZi1iZWMzLTMzNWRmNDFkM2NmNSIsImZlYXQiOjE5MDcxMjY4NDIyOTI4LCJwcmljZU5hbWUiOiJzdGFuZGFyZHY1In0.ICcJixsKr9MLNoTkFhrL1tq1kmUL7u32G8uDNmL05BA	e49980b238bd4c2ba54183d201e2dd99		VIC	0	5681682	1764789973119	Stan-Android	2025-12-03T19:26:13.119358274Z	e49980b238bd4c2ba54183d201e2dd99	Stan/Android/4.47.0; Dalvik/2.1.0 (Linux; U; Android 15; SM-F926B Build/AP3A.240905.015.A2)	googleexperiment4	true	nil	19071268422928	landscapes,resume,landscapes_xl,previews,squares,banner,ordinal,web_view_page	nil	redacted	nil	nil	nil	0	nil	0	5681682	nil	true	Australia/Sydney	1813cb16-3221-b2df-bec3-335df41d3cf5	Stan-Android	3	2026-04-02T19:24:20Z	19071268422928	2025-12-03T19:24:20Z	0176f4c4d97b4f6ca0155c77ddff9ee5	nil	33890363ae134a0bb2078918f32594dc	standardv5	e49980b238bd4c2ba54183d201e2dd99	Jhon	nil	user	hd	Australia/Sydney	nil	e49980b238bd4c2ba54183d201e2dd99	4.47.0.58371	
38195	SYDNEY	36.255.112.128		AU	mlt-sport	rec-loadbal-1gnegzdocpid4-81963089.ap-southeast-2.elb.amazonaws.com	36.255.112.128, 23.214.88.198, 23.32.5.76	-33.88	151.22	GET	/related?genres=Sport%2CFootball&maxRating=PG&source=5685336&started=true		https://play.stan.com.au/	NSW	0	5685336	1764790079435		2025-12-03T19:27:59.435772983Z		Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36	stan	nil	nil	nil	nil	Sport,Football	nil	nil	PG	nil	nil	nil	nil	5685336	true	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	nil	
